Source : https://data.sncf.com
Thème : Régularité des TGV
Périodicité : mensuelle
Début : 2012
Fin : 2015


La régularité est calculée lors de l’arrivée du train à la dernière gare de son parcours (terminus). Ce mode de calcul, qui n’intègre pas les gares intermédiaires, propose le retard cumulé sur l’ensemble d’un trajet.
L’indicateur utilisé est celui de la « régularité composite » : un train est considéré en retard s’il arrive cinq minutes après son heure prévue pour un trajet de moins de 1h30, dix minutes pour un trajet de 1h30 à 3h,
et quinze minutes pour un trajet de plus de 3h.Un train supprimé avant 16h la veille de sa circulation ne sera pas comptabilisé. En revanche, si l’annonce de sa suppression n’a pu être faite la veille avant 16h, 
le train sera bien comptabilisé comme un train supprimé, que cette suppression soit totale ou partielle (le train a effectué qu’une partie de son parcours).

  -----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 | Année| Mois | Id Trajet | Id Gare de départ| Gare de départ                      | Id Gare d'arrivée| Gare d'arrivée                      | Nombre de TGV programmés | Nombre de TGV annulés | Nombre de TGV en retard|
*| 2012 | 2    | 059       | 032              | PARIS LYON                          | 029              | NICE VILLE                          | 152                      | 1                     | 37                     |
*| 2012 | 2    | 040       | 030              | NIMES                               | 032              | PARIS LYON                          | 347                      | 0                     | 58                     |
*| 2012 | 2    | 086       | 036              | POITIERS                            | 033              | PARIS MONTPARNASSE                  | 473                      | 1                     | 140                    |
*| 2012 | 2    | 073       | 033              | PARIS MONTPARNASSE                  | 036              | POITIERS                            | 422                      | 0                     | 79                     |
*| 2012 | 2    | 043       | 031              | PARIS EST                           | 038              | REIMS                               | 236                      | 0                     | 19                     |
*| 2012 | 2    | 076       | 033              | PARIS MONTPARNASSE                  | 041              | ST MALO                             | 53                       | 0                     | 2                      |
*| 2012 | 2    | 080       | 033              | PARIS MONTPARNASSE                  | 048              | VANNES                              | 170                      | 0                     | 24                     |
*| 2012 | 2    | 048       | 032              | PARIS LYON                          | 007              | BELLEGARDE (AIN)                    | 271                      | 0                     | 64                     |
*| 2012 | 2    | 001       | 001              | AIX EN PROVENCE TGV                 | 032              | PARIS LYON                          | 397                      | 1                     | 75                     |
*| 2012 | 2    | 012       | 012              | DIJON VILLE                         | 032              | PARIS LYON                          | 449                      | 2                     | 68                     |
*| 2012 | 2    | 051       | 032              | PARIS LYON                          | 012              | DIJON VILLE                         | 456                      | 0                     | 39                     |
*| 2012 | 2    | 013       | 013              | DOUAI                               | 034              | PARIS NORD                          | 189                      | 0                     | 35                     |
*| 2012 | 2    | 015       | 015              | GRENOBLE                            | 032              | PARIS LYON                          | 237                      | 0                     | 23                     |
*| 2012 | 2    | 017       | 017              | LAVAL                               | 033              | PARIS MONTPARNASSE                  | 234                      | 0                     | 33                     |
*| 2012 | 2    | 018       | 018              | LE CREUSOT MONTCEAU MONTCHANIN      | 032              | PARIS LYON                          | 203                      | 0                     | 49                     |
*| 2012 | 2    | 071       | 033              | PARIS MONTPARNASSE                  | 019              | LE MANS                             | 426                      | 0                     | 98                     |
*| 2012 | 2    | 065       | 033              | PARIS MONTPARNASSE                  | 002              | ANGERS SAINT LAUD                   | 419                      | 0                     | 73                     |
*| 2012 | 2    | 023       | 021              | LYON PART DIEU                      | 020              | LILLE                               | 255                      | 0                     | 86                     |
*| 2012 | 2    | 010       | 010              | BREST                               | 033              | PARIS MONTPARNASSE                  | 162                      | 0                     | 12                     |
*| 2012 | 2    | 050       | 032              | PARIS LYON                          | 011              | CHAMBERY CHALLES LES EAUX           | 305                      | 0                     | 58                     |
*| 2012 | 2    | 069       | 033              | PARIS MONTPARNASSE                  | 016              | LA ROCHELLE VILLE                   | 197                      | 0                     | 50                     |
*| 2012 | 2    | 022       | 020              | LILLE                               | 034              | PARIS NORD                          | 588                      | 1                     | 116                    |
*| 2012 | 2    | 084       | 034              | PARIS NORD                          | 020              | LILLE                               | 596                      | 1                     | 97                     |
*| 2012 | 2    | 026       | 021              | LYON PART DIEU                      | 032              | PARIS LYON                          | 598                      | 1                     | 62                     |
